Año,Región,Canal,Tipo,Métrica,A,B,C,D,E,AVG,AVG_otros,diferencia,diferencia_porcentaje
2010,North America,1 - Mayorista,a - Ingreso,1 - a - Wholesale Income ($000s),85871.0,85871.0,85871.0,85871.0,85871.0,85871.0,85871.0,0.0,0.0
2010,North America,1 - Mayorista,b - Precio,1 - b - Rebate Offer ($ per pair),5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
2010,North America,1 - Mayorista,b - Precio,1 - b - Wholesale Net Price ($ per pair),43.0,43.0,43.0,43.0,43.0,43.0,43.0,0.0,0.0
2010,North America,1 - Mayorista,b - Precio,1 - b - Wholesale Price ($ per pair),48.0,48.0,48.0,48.0,48.0,48.0,48.0,0.0,0.0
2010,North America,1 - Mayorista,c - Volumen,1 - c -   Gained / Lost (due to stockouts),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2010,North America,1 - Mayorista,c - Volumen,1 - c - Pairs Demanded (000s),1997.0,1997.0,1997.0,1997.0,1997.0,1997.0,1997.0,0.0,0.0
2010,North America,1 - Mayorista,c - Volumen,1 - c - Pairs Sold (000s),1997.0,1997.0,1997.0,1997.0,1997.0,1997.0,1997.0,0.0,0.0
2010,North America,1 - Mayorista,d - Cuota,1 - d - Market Share (%),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0
2010,North America,1 - Mayorista,e - Calidad,1 - e - Model Availability,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0
2010,North America,1 - Mayorista,e - Calidad,1 - e - S/Q Rating (1 to 10 stars),4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0
2010,North America,1 - Mayorista,f - Marketing,1 - f - Delivery Time (weeks),3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0
2010,North America,1 - Mayorista,f - Marketing,1 - f - Retail Outlets,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0
2010,North America,1 - Mayorista,f - Marketing,1 - f - Retailer Support ($ per outlet),4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,0.0,0.0
2010,North America,1 - Mayorista,g - Imagen,1 - g - Brand Advertising ($000s),10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0
2010,North America,1 - Mayorista,g - Imagen,1 - g - Brand Reputation (prior-year image),70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0
